dataset,model,K,seed,fin_test_acc_WA,fin_test_hinge_WA,fin_sparsity_WA,L1_WA,fin_test_acc_WA_VZ,fin_test_hinge_WA_VZ,fin_sparsity_WA_VZ,L1_WA_VZ,fin_test_acc_SA,fin_test_hinge_SA,fin_sparsity_SA,L1_SA,fin_test_acc_SA_VZ,fin_test_hinge_SA_VZ,fin_sparsity_SA_VZ,L1_SA_VZ,L1_inst
rcv1_binary_sparse,PAC,1,3,0.9706010234456002,0.0780328706805744,0.292948324406715,0.00276201139904966,0.9706010234456002,0.0780328706805744,0.292948324406715,0.00276201139904966,0.9706010234456002,0.0780328706805744,0.292948324406715,0.00276201139904966,0.9706010234456002,0.0780328706805744,0.292948324406715,0.00276201139904966,0.01303495280830916
rcv1_binary_sparse,PAC,1,4,0.9711696043345932,0.0775089445343293,0.2818976649660224,0.003562336720785978,0.9711696043345932,0.0775089445343293,0.2818976649660224,0.003562336720785978,0.9711696043345932,0.0775089445343293,0.2818976649660224,0.003562336720785978,0.9711696043345932,0.0775089445343293,0.2818976649660224,0.003562336720785978,0.012489548739700342
rcv1_binary_sparse,PAC,4,0,0.9753455681747598,0.0664501212676285,0.2608336685225565,-0.002133574885721025,0.975340790184096,0.0664507523805764,0.2706776467599551,-0.00213024693202482,0.9753790141094064,0.0665226813112886,0.2608336685225565,-0.0021516646911695515,0.9753742361187426,0.06652314869463,0.2706776467599551,-0.002148146568690749,0.011993327072501603
rcv1_binary_sparse,PAC,4,1,0.9733531460679524,0.0714140245136377,0.2857929165696382,-0.0026755321451444616,0.973343590086625,0.0714152812277102,0.3004847894658847,-0.0026697319972739855,0.9732623642453404,0.0713389286120643,0.2857929165696382,-0.002646864201161692,0.9732528082640126,0.0713401046174549,0.3004847894658847,-0.002642323921476162,0.012182259758053501
rcv1_binary_sparse,PAC,4,2,0.9735681556478238,0.0705856287580159,0.2752079937337257,-0.0019566466045732255,0.9735681556478238,0.0705865010948483,0.2762453161716451,-0.001954269494790265,0.9736207135451256,0.0705000339912871,0.2752079937337257,-0.0019502997214526294,0.9736207135451256,0.0705008478177222,0.2762453161716451,-0.0019481603226479368,0.010687699524195326
rcv1_binary_sparse,PAC,4,3,0.9741892944341188,0.0702678682521065,0.27444587928954,-0.0017563988764543472,0.9741940724247824,0.0702684109620529,0.2836759320024556,-0.0017569931539000618,0.9741892944341188,0.0702330607383253,0.27444587928954,-0.0017286817763847032,0.9741940724247824,0.070233724680343,0.2836759320024556,-0.001729727704689174,0.01303495280830916
rcv1_binary_sparse,PAC,4,4,0.9753121222401132,0.066184668119054,0.2596904968562779,-0.0015630923089017179,0.9753121222401132,0.0661845554344233,0.2616804623494294,-0.0015540592917263672,0.975216562426837,0.0662646380177548,0.2596904968562779,-0.0015408901035286382,0.975216562426837,0.066264521747704,0.2616804623494294,-0.0015328792435599363,0.012489548739700342
rcv1_binary_sparse,PAC,64,0,0.9765543998127028,0.0631638073215708,0.2608336685225565,-0.0032212690091229226,0.9765639557940304,0.0631712411729215,0.28291381755827,-0.003214518017339236,0.9766021797193408,0.0631447477528449,0.2608336685225565,-0.003209050664838363,0.9766117357006684,0.0631518724415385,0.28291381755827,-0.0032022996730546797,0.011993327072501603
rcv1_binary_sparse,PAC,64,1,0.975981040933046,0.0647494991785189,0.2605372906831509,-0.00441693145886816,0.975981040933046,0.0647506702794315,0.2820035141943815,-0.00441270020345444,0.9759762629423822,0.0647090955764721,0.2605372906831509,-0.0044299104782832615,0.9759762629423822,0.0647102744785207,0.2820035141943815,-0.00442632104251095,0.012182259758053501
rcv1_binary_sparse,PAC,64,2,0.9757994772878212,0.0649475561891374,0.2596693270106061,-0.0034016440994560837,0.9757946992971576,0.0649505951688071,0.2856870673412791,-0.003394584083400601,0.9757946992971576,0.0649277019541276,0.2596693270106061,-0.003405447475108871,0.9757946992971576,0.0649306601803819,0.2856870673412791,-0.003399504700651409,0.010687699524195326
rcv1_binary_sparse,PAC,64,3,0.9761196026622964,0.0646315896754918,0.2596904968562779,-0.0037516497439032933,0.9761148246716326,0.0646370569432979,0.2836759320024556,-0.0037449225232174263,0.976176938550262,0.0644948495725281,0.2596904968562779,-0.0037518636837837673,0.976176938550262,0.0645004065529002,0.2836759320024556,-0.0037460873070110927,0.01303495280830916
rcv1_binary_sparse,PAC,64,4,0.976697739532617,0.0624825082928263,0.2590765713317949,-0.0031834254213778043,0.9767025175232809,0.0624825649161967,0.2808391726824312,-0.0031762703209310098,0.976697739532617,0.0624327295927234,0.2590765713317949,-0.0031781720087573906,0.9766929615419532,0.0624328170862795,0.2808391726824312,-0.0031708505106257854,0.012489548739700342
real-sim_binary_sparse,PAC,16,0,0.968514842343382,0.0813389026675863,0.0996707858199341,0.005432879000960316,0.968514842343382,0.0814071925205274,0.1139844458227968,0.005537383944962881,0.968514842343382,0.0812490033271796,0.0996707858199341,0.005448727003457422,0.968514842343382,0.0813191576139193,0.1139844458227968,0.005550935135503904,0.02184199265892964
real-sim_binary_sparse,PAC,16,1,0.9648215687179724,0.0873626356627951,0.0970466148194093,0.0061508624184373265,0.9648215687179724,0.0874042187873347,0.1157497972231499,0.006272823133306287,0.9645445731960668,0.0881552884057884,0.0970466148194093,0.006155685723545157,0.964636905036702,0.0881920330666218,0.1157497972231499,0.006259042261569697,0.022442379304254325
real-sim_binary_sparse,PAC,16,2,0.9698536540325932,0.0796606412671774,0.0981917076196383,0.009008555854217674,0.969761322191958,0.0797224295098007,0.1211889880242378,0.009131664975064659,0.9697151562716404,0.080076190370519,0.0981917076196383,0.008506932123005293,0.969761322191958,0.0801461440337331,0.1211889880242378,0.008617408778093727,0.02398974151907926
real-sim_binary_sparse,PAC,16,3,0.9693458289090991,0.0792328331422718,0.0959492342191898,0.0031121802005162924,0.969391994829417,0.0793042471239102,0.1141275824228255,0.003202904272782258,0.9694381607497344,0.0792349696875499,0.0959492342191898,0.0035265250773968116,0.9694381607497344,0.0793044234520658,0.1141275824228255,0.0036172491496628055,0.0265984605388183
real-sim_binary_sparse,PAC,16,4,0.969022667466876,0.0807391432209349,0.1019132592203826,0.007356459014194523,0.9689765015465585,0.0807880943013585,0.114175294622835,0.007457289059067352,0.9688380037856056,0.08099380828984,0.1019132592203826,0.0071913182345508895,0.9688380037856056,0.0810401026135406,0.114175294622835,0.007294904453771031,0.019880515248419724
