dataset,model,weight_scheme,K,seed,fin_test_acc_WA,fin_test_hinge_WA,fin_sparsity_WA,L1_WA,fin_test_acc_WA_VZ,fin_test_hinge_WA_VZ,fin_sparsity_WA_VZ,L1_WA_VZ,fin_test_acc_SA,fin_test_hinge_SA,fin_sparsity_SA,L1_SA,fin_test_acc_SA_VZ,fin_test_hinge_SA_VZ,fin_sparsity_SA_VZ,L1_SA_VZ,L1_inst
dexter_binary_sparse,FSOL,dense,16,2,0.95,446.7644255050505,0.9094045297735114,0.011904761904761908,0.95,530.7137671356422,0.9402029898505074,0.026455026455026447,0.9388888888888888,471.74696180555554,0.9094045297735114,0.025634920634920608,0.9388888888888888,538.6496961805556,0.9402029898505074,0.04018518518518519,0.06232804232804233
dexter_binary_sparse,FSOL,dense,16,3,0.8666666666666667,843.0787365591399,0.9066046697665116,0.018306878306878292,0.8722222222222222,798.7242428315412,0.9338533073346332,0.02587301587301585,0.8888888888888888,694.8985677083333,0.9066046697665116,0.013306878306878295,0.8722222222222222,666.2209201388889,0.9338533073346332,0.023015873015872993,0.06037037037037035
dexter_binary_sparse,FSOL,dense,16,4,0.9277777777777778,500.1431944444444,0.8943052847357632,0.01740740740740741,0.9277777777777778,550.7825833333334,0.9248537573121344,0.03396825396825391,0.9444444444444444,485.9901041666666,0.8943052847357632,0.00968253968253968,0.95,513.0286892361111,0.9248537573121344,0.027089947089947105,0.05693121693121692
dexter_binary_sparse,FSOL,dense,1,0,0.7666666666666667,1809.048611111111,0.952402379881006,0.15153439153439147,0.7666666666666667,1809.048611111111,0.952402379881006,0.15153439153439147,0.7666666666666667,1809.048611111111,0.952402379881006,0.15153439153439147,0.7666666666666667,1809.048611111111,0.952402379881006,0.15153439153439147,0.050158730158730166
dexter_binary_sparse,FSOL,dense,1,1,0.85,1778.392361111111,0.9218039098045098,0.1106878306878307,0.85,1778.392361111111,0.9218039098045098,0.1106878306878307,0.85,1778.392361111111,0.9218039098045098,0.1106878306878307,0.85,1778.392361111111,0.9218039098045098,0.1106878306878307,0.06103174603174605
dexter_binary_sparse,FSOL,dense,1,2,0.6666666666666666,4157.74375,0.952452377381131,0.22936507936507938,0.6666666666666666,4157.74375,0.952452377381131,0.22936507936507938,0.6666666666666666,4157.74375,0.952452377381131,0.22936507936507938,0.6666666666666666,4157.74375,0.952452377381131,0.22936507936507938,0.06232804232804233
dexter_binary_sparse,FSOL,dense,1,3,0.7,2496.2215277777777,0.9541022948852558,0.13796296296296298,0.7,2496.2215277777777,0.9541022948852558,0.13796296296296298,0.7,2496.2215277777777,0.9541022948852558,0.13796296296296298,0.7,2496.2215277777777,0.9541022948852558,0.13796296296296298,0.06037037037037035
dexter_binary_sparse,FSOL,dense,1,4,0.9277777777777778,864.9194444444445,0.9082045897705114,0.12796296296296295,0.9277777777777778,864.9194444444445,0.9082045897705114,0.12796296296296295,0.9277777777777778,864.9194444444445,0.9082045897705114,0.12796296296296295,0.9277777777777778,864.9194444444445,0.9082045897705114,0.12796296296296295,0.05693121693121692
dexter_binary_sparse,FSOL,dense,4,0,0.9166666666666666,633.8141589506173,0.9310534473276336,0.06018518518518517,0.9166666666666666,628.0850501543209,0.9345032748362582,0.07079365079365078,0.8833333333333333,762.5659722222222,0.9310534473276336,0.065026455026455,0.8833333333333333,753.584375,0.9345032748362582,0.07068783068783067,0.050158730158730166
dexter_binary_sparse,FSOL,dense,4,1,0.8722222222222222,1708.6396241830066,0.9159042047897604,0.07026455026455027,0.8833333333333333,1878.5675653594767,0.9378031098445078,0.07246031746031747,0.8611111111111112,1774.7855902777778,0.9159042047897604,0.05751322751322753,0.8555555555555555,1862.0831597222225,0.9378031098445078,0.06285714285714285,0.06103174603174605
dexter_binary_sparse,FSOL,dense,4,2,0.9388888888888888,584.5027991452992,0.911954402279886,0.03275132275132274,0.9444444444444444,550.1869017094018,0.9221538923053848,0.03761904761904757,0.9277777777777778,677.7883680555556,0.911954402279886,0.031084656084656055,0.9333333333333332,697.1842013888889,0.9221538923053848,0.03756613756613753,0.06232804232804233
dexter_binary_sparse,FSOL,dense,4,3,0.85,1257.300043402778,0.9181040947952602,0.034047619047619035,0.85,1203.9209780092592,0.9313034348282586,0.037751322751322744,0.8555555555555555,816.1855902777778,0.9181040947952602,0.03354497354497354,0.8555555555555555,791.5482638888889,0.9313034348282586,0.03529100529100527,0.06037037037037035
dexter_binary_sparse,FSOL,dense,4,4,0.9222222222222224,655.4317506459947,0.8989550522473876,0.060714285714285735,0.9166666666666666,681.1838662790698,0.9216539173041348,0.06642857142857145,0.9333333333333332,577.9934027777778,0.8989050547472627,0.021243386243386262,0.9277777777777778,638.6579861111111,0.9216039198040098,0.028095238095238104,0.05693121693121692
dexter_binary_sparse,FSOL,dense,64,0,0.9111111111111112,446.5165290290289,0.91890405479726,0.04759259259259257,0.8944444444444445,460.1099474474474,0.9532023398830058,0.0854232804232804,0.9,409.47483723958334,0.91890405479726,0.08574074074074073,0.9,432.41935763888887,0.9532023398830058,0.11783068783068781,0.050158730158730166
dexter_binary_sparse,FSOL,dense,64,1,0.8666666666666667,1447.2770496632995,0.9069046547672616,0.022116402116402117,0.85,1475.1089625420873,0.9507524623768812,0.03867724867724868,0.8611111111111112,1303.18076171875,0.9069046547672616,0.021904761904761906,0.8444444444444444,1328.4283203125,0.9507524623768812,0.037566137566137574,0.06103174603174605
dexter_binary_sparse,FSOL,dense,64,2,0.9277777777777778,432.3074150769747,0.9082545872706363,0.012698412698412665,0.9333333333333332,513.3055241800536,0.9478526073696316,0.03973544973544971,0.9277777777777778,430.8999240451389,0.9082545872706363,0.026481481481481443,0.9222222222222224,481.01325954861113,0.9478526073696316,0.04907407407407405,0.06232804232804233
dexter_binary_sparse,FSOL,dense,64,3,0.8666666666666667,688.9418710443038,0.9030048497575122,0.014497354497354462,0.8666666666666667,642.8087970288327,0.9505524723763812,0.027645502645502612,0.8833333333333333,485.9929361979167,0.9030048497575122,0.008253968253968246,0.8888888888888888,492.23846571180553,0.9505524723763812,0.024576719576719554,0.06037037037037035
