model,dataset,log2eta,log10lmbda,seed,final_test-set-acc,l1-regret,l2-regret
FSOL,avazu-app_binary_sparse,-3.0,3.0,0,0.8816164182219866,1.1177737071685592e-05,2.2238526350335377e-05
FSOL,avazu-app_binary_sparse,-3.0,3.0,1,0.8819859223054862,1.142984947858328e-06,1.3862056713810303e-05
FSOL,avazu-app_binary_sparse,-3.0,3.0,2,0.882226168471025,2.261097819429226e-09,2.2723751852451383e-08
FSOL,avazu-app_binary_sparse,-3.0,3.0,3,0.8819407048712878,9.566704875144956e-06,2.1047763990094726e-05
FSOL,avazu-app_binary_sparse,-3.0,3.0,4,0.881810305098928,1.141741344057367e-05,2.7605837500679925e-05
FSOL,avazu-app_binary_sparse,0.0,-1.0,0,0.8796725252932168,0.026872312111487735,0.06555839233222834
FSOL,avazu-app_binary_sparse,0.0,-1.0,1,0.8730990978893507,0.027115458134980237,0.056163427419220195
FSOL,avazu-app_binary_sparse,0.0,-1.0,2,0.8829667752341829,0.02036396814726385,0.056927560528068445
FSOL,avazu-app_binary_sparse,0.0,-1.0,3,0.8825285315158665,0.01564166874246749,0.03760753004022719
FSOL,avazu-app_binary_sparse,0.0,-1.0,4,0.8828025765716141,0.02048484982835169,0.047342517261358616
FSOL,avazu-app_binary_sparse,0.0,-2.0,0,0.8821252285421579,0.02793475223281263,0.06400570969703065
FSOL,avazu-app_binary_sparse,0.0,-2.0,1,0.8824588783975307,0.023573513972257286,0.051818591955737764
FSOL,avazu-app_binary_sparse,0.0,-2.0,2,0.8828573855827636,0.02126465159166523,0.05671376805972369
FSOL,avazu-app_binary_sparse,0.0,-2.0,3,0.8827616981841317,0.01917177379700652,0.042954147370328606
FSOL,avazu-app_binary_sparse,0.0,-2.0,4,0.8828726864317096,0.021484424646995483,0.04901852633950391
FSOL,avazu-app_binary_sparse,0.0,-3.0,0,0.8823070117624705,0.029036283343793382,0.06797110700344797
FSOL,avazu-app_binary_sparse,0.0,-3.0,1,0.8823791769604841,0.02299649424470786,0.047088766821372106
FSOL,avazu-app_binary_sparse,0.0,-3.0,2,0.8828934681817704,0.021070089777024584,0.05984784021747289
FSOL,avazu-app_binary_sparse,0.0,-3.0,3,0.8826258175106569,0.018968331520679053,0.04144806774738461
FSOL,avazu-app_binary_sparse,0.0,-3.0,4,0.8828626381129988,0.0218630081687902,0.05405184148498861
FSOL,avazu-app_binary_sparse,0.0,-inf,0,0.8823072401333504,0.02679888069869515,0.06203106906747614
FSOL,avazu-app_binary_sparse,0.0,-inf,1,0.8825509118620859,0.02625994464172297,0.05415368381276953
FSOL,avazu-app_binary_sparse,0.0,-inf,2,0.8827637535220499,0.02016951034312291,0.05494100230126509
FSOL,avazu-app_binary_sparse,0.0,-inf,3,0.870866315797647,0.018731662411891097,0.04247574559344577
FSOL,avazu-app_binary_sparse,0.0,-inf,4,0.882999203899113,0.02176312643370278,0.056487371807561644
FSOL,avazu-app_binary_sparse,0.0,0.0,0,0.8824029275319822,0.023087160875631133,0.0667965736553671
FSOL,avazu-app_binary_sparse,0.0,0.0,1,0.8825673545654308,0.023107239424270072,0.05310875427592504
FSOL,avazu-app_binary_sparse,0.0,0.0,2,0.8831133893390078,0.0190641229298106,0.059969851943385555
FSOL,avazu-app_binary_sparse,0.0,0.0,3,0.8823060982789513,0.01495254604611527,0.038504273392875946
FSOL,avazu-app_binary_sparse,0.0,0.0,4,0.8829411976956465,0.01659633589731426,0.038913168169276445
FSOL,avazu-app_binary_sparse,0.0,1.0,0,0.8824826289690288,0.018842838330587895,0.06233831033073672
FSOL,avazu-app_binary_sparse,0.0,1.0,1,0.8825422337686539,0.015424326367293417,0.03982098935821228
FSOL,avazu-app_binary_sparse,0.0,1.0,2,0.8828749701405074,0.012697278467143535,0.050445903811110755
FSOL,avazu-app_binary_sparse,0.0,1.0,3,0.8786836793837275,0.012411522055238804,0.0371527793008179
FSOL,avazu-app_binary_sparse,0.0,1.0,4,0.8828393442832603,0.014921519261833327,0.049919826562981585
FSOL,avazu-app_binary_sparse,0.0,2.0,0,0.8820482675556688,0.014290539565365723,0.05045129926815529
FSOL,avazu-app_binary_sparse,0.0,2.0,1,0.8814618111363689,0.01673918075207378,0.05852156167130487
FSOL,avazu-app_binary_sparse,0.0,2.0,2,0.8824360413095517,0.012398206450178598,0.04695490591476364
FSOL,avazu-app_binary_sparse,0.0,2.0,3,0.8827294978900815,0.012808714412089622,0.05324148190672237
FSOL,avazu-app_binary_sparse,0.0,2.0,4,0.8820548903111828,0.012796270460238901,0.04098648410878234
FSOL,avazu-app_binary_sparse,0.0,3.0,0,0.8818187548214802,0.02481030734645923,0.10695853443912423
FSOL,avazu-app_binary_sparse,0.0,3.0,1,0.8818125888077258,0.01459085292503371,0.06811649771054624
FSOL,avazu-app_binary_sparse,0.0,3.0,2,0.8822266252127846,0.021795197845177396,0.10969946186267791
FSOL,avazu-app_binary_sparse,0.0,3.0,3,0.8818822419260617,0.015946242010427807,0.07878751127290626
FSOL,avazu-app_binary_sparse,0.0,3.0,4,0.8819530368987966,0.013139057411901047,0.06460639981238528
FSOL,avazu-app_binary_sparse,1.0,-1.0,0,0.8816027159691991,0.035892585390393056,0.06899454742079629
FSOL,avazu-app_binary_sparse,1.0,-1.0,1,0.8710627147542661,0.044994303412763996,0.08993814118343765
FSOL,avazu-app_binary_sparse,1.0,-1.0,2,0.8806337383262516,0.033535633981371646,0.07629820082376186
FSOL,avazu-app_binary_sparse,1.0,-1.0,3,0.8792013961682107,0.036152171856132634,0.06623049759655567
FSOL,avazu-app_binary_sparse,1.0,-1.0,4,0.8821782105862691,0.03579749831323233,0.07817752237293604
FSOL,avazu-app_binary_sparse,1.0,-2.0,0,0.8820005380417928,0.03793124318988428,0.0824999249000617
FSOL,avazu-app_binary_sparse,1.0,-2.0,1,0.8711113577516613,0.043316077041771005,0.09024131454876884
FSOL,avazu-app_binary_sparse,1.0,-2.0,2,0.8813008096661172,0.034678805469800005,0.07486679120783322
FSOL,avazu-app_binary_sparse,1.0,-2.0,3,0.8805327983973845,0.03480655523551528,0.06859705945212295
FSOL,avazu-app_binary_sparse,1.0,-2.0,4,0.8821101560640918,0.034323291929059724,0.0735624581361861
FSOL,avazu-app_binary_sparse,1.0,-3.0,0,0.8814437698368656,0.03669708964738685,0.08157736571638002
FSOL,avazu-app_binary_sparse,1.0,-3.0,1,0.8781730420965178,0.03934988309513775,0.07660257040157716
FSOL,avazu-app_binary_sparse,1.0,-3.0,2,0.8805910329717309,0.03272904160054143,0.07708601451832933
FSOL,avazu-app_binary_sparse,1.0,-3.0,3,0.8796997014279118,0.032321881193952434,0.06310930016684188
FSOL,avazu-app_binary_sparse,1.0,-3.0,4,0.8820359355281602,0.041123396650448577,0.09642637670899964
FSOL,avazu-app_binary_sparse,1.0,-inf,0,0.878123942357363,0.04674497648844913,0.10001354646185069
FSOL,avazu-app_binary_sparse,1.0,-inf,1,0.874264931230677,0.04959549389614161,0.10086719982868188
FSOL,avazu-app_binary_sparse,1.0,-inf,2,0.8813334667019271,0.03319766090696764,0.07588004510758307
FSOL,avazu-app_binary_sparse,1.0,-inf,3,0.880414959023413,0.03257769162633309,0.06146383428640552
FSOL,avazu-app_binary_sparse,1.0,-inf,4,0.8820039636049897,0.03749146305559938,0.08675696527751774
FSOL,avazu-app_binary_sparse,1.0,0.0,0,0.8799082040411598,0.03268674776582393,0.0746526050370693
FSOL,avazu-app_binary_sparse,1.0,0.0,1,0.8823979033726268,0.03619262289612704,0.07981092017311746
FSOL,avazu-app_binary_sparse,1.0,0.0,2,0.8825445174774518,0.032150310221942514,0.0812048794487465
FSOL,avazu-app_binary_sparse,1.0,0.0,3,0.863564156916372,0.02932307646904849,0.05920685191211794
FSOL,avazu-app_binary_sparse,1.0,0.0,4,0.8822834895618522,0.031638910944767576,0.07583594895010153
FSOL,avazu-app_binary_sparse,1.0,1.0,0,0.8823382985730017,0.03482594527986807,0.08841243556308186
FSOL,avazu-app_binary_sparse,1.0,1.0,1,0.8822193173446313,0.03524013657012743,0.08442169571179878
FSOL,avazu-app_binary_sparse,1.0,1.0,2,0.8828726864317096,0.0268698893451739,0.06688962931688432
FSOL,avazu-app_binary_sparse,1.0,1.0,3,0.8826132571122685,0.03268960579346807,0.08309406456682691
FSOL,avazu-app_binary_sparse,1.0,1.0,4,0.8819804414043713,0.030317873587999252,0.08579901355367185
FSOL,avazu-app_binary_sparse,1.0,2.0,0,0.8767146656581809,0.03407756712350386,0.0938280279366599
FSOL,avazu-app_binary_sparse,1.0,2.0,1,0.8597894146443283,0.04076527832502,0.1059372881203637
FSOL,avazu-app_binary_sparse,1.0,2.0,2,0.882088232459632,0.031871709054088225,0.09103244779704034
FSOL,avazu-app_binary_sparse,1.0,2.0,3,0.8783098362535118,0.025486169834647885,0.07076215224161811
FSOL,avazu-app_binary_sparse,1.0,2.0,4,0.8820884608305118,0.030891343391971693,0.08863801060725691
FSOL,avazu-app_binary_sparse,1.0,3.0,0,0.881407458866979,0.0525766541442095,0.15828841090907075
FSOL,avazu-app_binary_sparse,1.0,3.0,1,0.8760752271947697,0.053781837370892045,0.14022752982844733
FSOL,avazu-app_binary_sparse,1.0,3.0,2,0.8817376831591549,0.04570993295885665,0.1422962439833968
FSOL,avazu-app_binary_sparse,1.0,3.0,3,0.8793827226467636,0.036652960931788645,0.11751920269947884
FSOL,avazu-app_binary_sparse,1.0,3.0,4,0.8807611692771742,0.040310441540353716,0.12237019654917396
FSOL,avazu-app_binary_sparse,2.0,-1.0,0,0.8786055765428394,0.05013539657243169,0.09796904728638041
FSOL,avazu-app_binary_sparse,2.0,-1.0,1,0.8764164132891755,0.05359653814346986,0.10297373073473727
FSOL,avazu-app_binary_sparse,2.0,-1.0,2,0.8778505824142547,0.04345384347082747,0.08423265571987791
FSOL,avazu-app_binary_sparse,2.0,-1.0,3,0.8819518950443976,0.04829580582498684,0.09489600350444384
FSOL,avazu-app_binary_sparse,2.0,-1.0,4,0.8821841482291437,0.045400161427008874,0.08557042565154165
FSOL,avazu-app_binary_sparse,2.0,-2.0,0,0.8799456568654452,0.05153478662139715,0.09774162507739817
FSOL,avazu-app_binary_sparse,2.0,-2.0,1,0.8778773018071901,0.055172204509008026,0.1068188488514786
FSOL,avazu-app_binary_sparse,2.0,-2.0,2,0.8480136985988533,0.046105534633391315,0.09886383923583164
FSOL,avazu-app_binary_sparse,2.0,-2.0,3,0.836079721533684,0.04846941065448557,0.08891035503801917
FSOL,avazu-app_binary_sparse,2.0,-2.0,4,0.8807817226563552,0.052757704768828496,0.11431362701787356
FSOL,avazu-app_binary_sparse,2.0,-3.0,0,0.8799342383214558,0.04802354590596787,0.09410155258353058
FSOL,avazu-app_binary_sparse,2.0,-3.0,1,0.8254860531620004,0.050732975331906696,0.10352025615961899
FSOL,avazu-app_binary_sparse,2.0,-3.0,2,0.8669456445334177,0.04761889192631204,0.09493188220631922
FSOL,avazu-app_binary_sparse,2.0,-3.0,3,0.855522533126338,0.04741982713536347,0.08622821281740511
FSOL,avazu-app_binary_sparse,2.0,-3.0,4,0.882230507517741,0.047331904346644436,0.10698323142200886
FSOL,avazu-app_binary_sparse,2.0,-inf,0,0.8814698041171616,0.04680648513243848,0.09108534099303754
FSOL,avazu-app_binary_sparse,2.0,-inf,1,0.8804302598723589,0.057905538261096665,0.11144050566151413
FSOL,avazu-app_binary_sparse,2.0,-inf,2,0.8823762081390468,0.04202611282178989,0.08906243634802104
FSOL,avazu-app_binary_sparse,2.0,-inf,3,0.8636091459796905,0.04404435743016482,0.08613692826476964
FSOL,avazu-app_binary_sparse,2.0,-inf,4,0.8824120623671737,0.05305703228984709,0.1098622349668283
FSOL,avazu-app_binary_sparse,2.0,0.0,0,0.8818861242310182,0.04663136536740053,0.09780769642213213
FSOL,avazu-app_binary_sparse,2.0,0.0,1,0.8820921147645885,0.050439201067133274,0.10394170662968279
FSOL,avazu-app_binary_sparse,2.0,0.0,2,0.8823666165620957,0.042584857226211546,0.10071250652076835
FSOL,avazu-app_binary_sparse,2.0,0.0,3,0.8764079635666233,0.041944153678570316,0.087476618426647
FSOL,avazu-app_binary_sparse,2.0,0.0,4,0.8814042616746619,0.04502354166867057,0.09669743919975232
FSOL,avazu-app_binary_sparse,2.0,1.0,0,0.880141370709425,0.042824388884839255,0.10050756613197132
FSOL,avazu-app_binary_sparse,2.0,1.0,1,0.8627207832573087,0.048520917332269396,0.10448067796948217
FSOL,avazu-app_binary_sparse,2.0,1.0,2,0.8827187644587313,0.03432138808469555,0.07935076414540938
FSOL,avazu-app_binary_sparse,2.0,1.0,3,0.881637656713807,0.040519258446198615,0.10228969495259785
FSOL,avazu-app_binary_sparse,2.0,1.0,4,0.8820594577287785,0.04869121643675573,0.1156307275237818
FSOL,avazu-app_binary_sparse,2.0,2.0,0,0.8810601067588189,0.05131999476456366,0.1279357254039787
FSOL,avazu-app_binary_sparse,2.0,2.0,1,0.8778033096421383,0.05226412972576621,0.12513416300226793
FSOL,avazu-app_binary_sparse,2.0,2.0,2,0.8824474598535412,0.035123137193996,0.10189274795408604
FSOL,avazu-app_binary_sparse,2.0,2.0,3,0.8821811794077065,0.04574410040801011,0.12294597033465825
FSOL,avazu-app_binary_sparse,2.0,2.0,4,0.8817650876647296,0.04659558010275705,0.12288480402060965
FSOL,avazu-app_binary_sparse,2.0,3.0,0,0.8807705324832455,0.06723842753290699,0.17617939274587832
FSOL,avazu-app_binary_sparse,2.0,3.0,1,0.8022831150336094,0.05749521910085355,0.14959341194538553
FSOL,avazu-app_binary_sparse,2.0,3.0,2,0.881380282732284,0.047239998634116036,0.14762551236313218
FSOL,avazu-app_binary_sparse,2.0,3.0,3,0.8379758849485778,0.04623800331025625,0.12772133032083308
FSOL,avazu-app_binary_sparse,2.0,3.0,4,0.8797147739059779,0.05068060717585353,0.13152713136509359
FSOL,avazu-app_binary_sparse,3.0,-1.0,0,0.8813505945179113,0.059590647413852886,0.11721565138843658
FSOL,avazu-app_binary_sparse,3.0,-1.0,1,0.8415144917309189,0.05587714810680473,0.11429421956881278
FSOL,avazu-app_binary_sparse,3.0,-1.0,2,0.8756070668912009,0.04932707332122046,0.0989252188971672
