model,dataset,log10Cerr,seed,final_test-set-acc,l1-regret,l2-regret
PAC,kdd2010-a_binary_sparse,-1.0,1,0.8467102511496338,0.020931310950223762,0.025429986820780362
PAC,kdd2010-a_binary_sparse,-1.0,2,0.8452327244687464,0.020424561039188376,0.02438885967033667
PAC,kdd2010-a_binary_sparse,-1.0,3,0.8276967665227514,0.018341301080493713,0.02185835598411127
PAC,kdd2010-a_binary_sparse,-1.0,4,0.8620943950045918,0.020446448993828935,0.02436298145188999
PAC,kdd2010-a_binary_sparse,-2.0,0,0.8718719362252688,0.0063329111752754175,0.00786321530721725
PAC,kdd2010-a_binary_sparse,-2.0,1,0.8693059810863129,0.00668479117849519,0.008789140475326952
PAC,kdd2010-a_binary_sparse,-2.0,2,0.8701458501609282,0.0062225554719392605,0.007849347331830608
PAC,kdd2010-a_binary_sparse,-2.0,3,0.8643217113444371,0.006148045018184392,0.007727445212637238
PAC,kdd2010-a_binary_sparse,-2.0,4,0.8749080984384864,0.005568222386148844,0.0073266294271884845
PAC,kdd2010-a_binary_sparse,-3.0,0,0.8792367694456602,0.00035712948562026956,0.0004912894855024505
PAC,kdd2010-a_binary_sparse,-3.0,1,0.8784914650688098,0.00038741254130100354,0.0005682870251454388
PAC,kdd2010-a_binary_sparse,-3.0,2,0.8787878674614088,0.00032634313095717153,0.0004807484037059072
PAC,kdd2010-a_binary_sparse,-3.0,3,0.8782724337925639,0.000324513121054426,0.0004700224885008337
PAC,kdd2010-a_binary_sparse,-3.0,4,0.8776968225887778,0.00036628508622568533,0.0005312690479298614
PAC,kdd2010-a_binary_sparse,0.0,0,0.8464654295012702,0.020191938840055046,0.024180326104540035
PAC,kdd2010-a_binary_sparse,0.0,1,0.8403852558311471,0.024002071267750235,0.029032087991874005
PAC,kdd2010-a_binary_sparse,0.0,2,0.8385593722399163,0.02346476814790383,0.028025522335476775
PAC,kdd2010-a_binary_sparse,0.0,3,0.8187620845647613,0.021354933262795486,0.025326499659173007
PAC,kdd2010-a_binary_sparse,0.0,4,0.8581776224042832,0.024143994179317625,0.028454091096126326
PAC,kdd2010-a_binary_sparse,1.0,0,0.8457709583216373,0.020477808961302798,0.02453457223210736
PAC,kdd2010-a_binary_sparse,1.0,1,0.8397165750236318,0.024343770568760838,0.029436214282119923
PAC,kdd2010-a_binary_sparse,1.0,2,0.8377778118326975,0.02380790333130524,0.02843529901196227
PAC,kdd2010-a_binary_sparse,1.0,3,0.8177734536335831,0.021675638334931947,0.025702061561674722
PAC,kdd2010-a_binary_sparse,1.0,4,0.8577092841975662,0.024559310208316677,0.02891084822053947
PAC,kdd2010-a_binary_sparse,2.0,0,0.8456947085258111,0.020505769810281883,0.024569203428137832
PAC,kdd2010-a_binary_sparse,2.0,1,0.8396403252278056,0.02437449771177889,0.029473544774261496
PAC,kdd2010-a_binary_sparse,2.0,2,0.8377090375070503,0.02384549532441349,0.02847975233658367
PAC,kdd2010-a_binary_sparse,2.0,3,0.8176609478073885,0.021706319218852424,0.02573822677690575
PAC,kdd2010-a_binary_sparse,2.0,4,0.8576629362824562,0.02460416117902702,0.028959620016641454
PAC,kdd2010-a_binary_sparse,3.0,0,0.8456905970172126,0.020509276249883166,0.024573228348035256
PAC,kdd2010-a_binary_sparse,3.0,1,0.8396328497576265,0.024379432632315446,0.029478956723361486
PAC,kdd2010-a_binary_sparse,3.0,2,0.8376940865666922,0.023850432095313952,0.028484993551311913
PAC,kdd2010-a_binary_sparse,3.0,3,0.81764973460212,0.021707423886104183,0.025740161690754108
PAC,kdd2010-a_binary_sparse,3.0,4,0.8576535919447323,0.024608975825909634,0.028964563752631727
PAC,mnist8-4+9_binary_sparse,-1.0,0,0.9234466092608724,0.01957116456887934,0.030148377425153722
PAC,mnist8-4+9_binary_sparse,-1.0,1,0.9337432151712122,0.02005154927306711,0.02962634066386651
PAC,mnist8-4+9_binary_sparse,-1.0,2,0.92922209006232,0.019847821954681006,0.031849501811955186
PAC,mnist8-4+9_binary_sparse,-1.0,3,0.933311834081619,0.025688540697030287,0.03751740178458262
PAC,mnist8-4+9_binary_sparse,-1.0,4,0.904315067345708,0.021378876500026907,0.03442914819438031
PAC,mnist8-4+9_binary_sparse,-2.0,0,0.920100264692086,0.011820258598097265,0.018969954326961382
PAC,mnist8-4+9_binary_sparse,-2.0,1,0.9386999095356162,0.01256868592106145,0.018137973968777768
PAC,mnist8-4+9_binary_sparse,-2.0,2,0.9376130804797964,0.011999478925812646,0.020832289376080587
PAC,mnist8-4+9_binary_sparse,-2.0,3,0.936796388125712,0.015871852987248636,0.022715487453466392
PAC,mnist8-4+9_binary_sparse,-2.0,4,0.9259783555585338,0.013755585188787547,0.02286951786709874
PAC,mnist8-4+9_binary_sparse,-3.0,0,0.9381554479662266,0.0025441863944486052,0.004032445563032049
PAC,mnist8-4+9_binary_sparse,-3.0,1,0.944764373785432,0.002688843986589895,0.004339118198834891
PAC,mnist8-4+9_binary_sparse,-3.0,2,0.9433383032902232,0.0023817394639014475,0.0039054979368090595
PAC,mnist8-4+9_binary_sparse,-3.0,3,0.9429341452790994,0.0030134683122537112,0.004435553547462544
PAC,mnist8-4+9_binary_sparse,-3.0,4,0.9407165114253166,0.0025556831172295013,0.004204762662354738
PAC,mnist8-4+9_binary_sparse,0.0,0,0.9215933458419888,0.02067495362331921,0.03184689929332326
PAC,mnist8-4+9_binary_sparse,0.0,1,0.9326396334517189,0.021527774091823233,0.03183537510162246
PAC,mnist8-4+9_binary_sparse,0.0,2,0.9267259431749648,0.021174921113199564,0.03355948321860518
PAC,mnist8-4+9_binary_sparse,0.0,3,0.9325118943912082,0.027279940078541877,0.04007923601176198
PAC,mnist8-4+9_binary_sparse,0.0,4,0.9015027139315152,0.02300345983971849,0.03654199763722028
PAC,mnist8-4+9_binary_sparse,1.0,0,0.9213650907994372,0.020764781488870582,0.03200688808188551
PAC,mnist8-4+9_binary_sparse,1.0,1,0.9325663405481472,0.021653242834670135,0.03204260120656346
PAC,mnist8-4+9_binary_sparse,1.0,2,0.9264034543992494,0.021328058704650803,0.03373602141546467
PAC,mnist8-4+9_binary_sparse,1.0,3,0.9324030020773304,0.027460570283893,0.04035898339603637
PAC,mnist8-4+9_binary_sparse,1.0,4,0.9011802251557998,0.02318327107203113,0.036785420740294804
PAC,mnist8-4+9_binary_sparse,2.0,0,0.9213399618039269,0.020776578847323857,0.032024644265907974
PAC,mnist8-4+9_binary_sparse,2.0,1,0.9325495878844736,0.02167036870124725,0.032065902665693424
PAC,mnist8-4+9_binary_sparse,2.0,2,0.9263720431548615,0.021343349656951775,0.03375387484073844
PAC,mnist8-4+9_binary_sparse,2.0,3,0.9324030020773304,0.027477830918185266,0.04038670758202158
PAC,mnist8-4+9_binary_sparse,2.0,4,0.9011571902432488,0.023198147354439213,0.036808070807289754
PAC,mnist8-4+9_binary_sparse,3.0,0,0.9213378677209676,0.020774826867026364,0.032024258634918513
PAC,mnist8-4+9_binary_sparse,3.0,1,0.932543305635596,0.0216702028332901,0.032066839803175
PAC,mnist8-4+9_binary_sparse,3.0,2,0.9263699490719024,0.0213454644734056,0.03375645118940766
PAC,mnist8-4+9_binary_sparse,3.0,3,0.932398813911412,0.027480453705257913,0.04039012163899378
PAC,mnist8-4+9_binary_sparse,3.0,4,0.9011530020773304,0.02319990970148412,0.03681025945188945
PAC,news20_binary_sparse,-1.0,0,0.9179889761149156,0.031789465410349854,0.06285339967033564
PAC,news20_binary_sparse,-1.0,1,0.9355269751127444,0.030756180875557176,0.06407740059009835
PAC,news20_binary_sparse,-1.0,2,0.9094705194588276,0.03503424085518625,0.06895055029622968
PAC,news20_binary_sparse,-1.0,3,0.9181560046767996,0.028171332003654997,0.05341540489276701
PAC,news20_binary_sparse,-1.0,4,0.9163186904960748,0.032808830898318896,0.06231423564863274
PAC,news20_binary_sparse,-2.0,0,0.8406547519625857,0.04732066536318887,0.08609948948239785
PAC,news20_binary_sparse,-2.0,1,0.8543510940370803,0.03729322027792243,0.07307084572508356
PAC,news20_binary_sparse,-2.0,2,0.8274594955737431,0.04696859535529596,0.09103931459966874
PAC,news20_binary_sparse,-2.0,3,0.8209453816602639,0.039105152667380634,0.07548176034787166
PAC,news20_binary_sparse,-2.0,4,0.8331384666778019,0.037991628921486754,0.07776656011186138
PAC,news20_binary_sparse,-3.0,0,0.8019041256054785,0.161962028840265,0.2011158038786247
PAC,news20_binary_sparse,-3.0,1,0.6868214464673459,0.09268283896154086,0.13291282236557078
PAC,news20_binary_sparse,-3.0,2,0.7427760146985134,0.10531642087267508,0.1522211367737533
PAC,news20_binary_sparse,-3.0,3,0.678971104058794,0.09660555386343614,0.13827308767263485
PAC,news20_binary_sparse,-3.0,4,0.7923834975780859,0.07874905432358346,0.11486666046454354
PAC,news20_binary_sparse,0.0,0,0.9331885752463672,0.046617344114863235,0.0832836579629762
PAC,news20_binary_sparse,0.0,1,0.951394688491732,0.04973602937082633,0.09119695971686506
PAC,news20_binary_sparse,0.0,2,0.951394688491732,0.045391649226919774,0.08517153512079895
PAC,news20_binary_sparse,0.0,3,0.9565725739101386,0.04395962493900185,0.07395862984149322
PAC,news20_binary_sparse,0.0,4,0.9525638884249208,0.051307244126981025,0.0903313455692252
PAC,news20_binary_sparse,1.0,0,0.9341907466176717,0.05826758630627797,0.10577266908437372
PAC,news20_binary_sparse,1.0,1,0.9450476031401368,0.05695018946279028,0.10396615981594859
PAC,news20_binary_sparse,1.0,2,0.9500584599966594,0.049551806692277746,0.09154614802857235
PAC,news20_binary_sparse,1.0,3,0.9587439452146316,0.050921604653219224,0.0880188014351856
PAC,news20_binary_sparse,1.0,4,0.9507265742441956,0.06189063231773417,0.11084685077449455
PAC,news20_binary_sparse,2.0,0,0.9331885752463672,0.05920179997838451,0.10819984012939031
PAC,news20_binary_sparse,2.0,1,0.9480541172540504,0.05770181799126866,0.1052651010036692
PAC,news20_binary_sparse,2.0,2,0.9498914314347754,0.05053842148183811,0.09267967285424016
PAC,news20_binary_sparse,2.0,3,0.9585769166527476,0.05173955334597513,0.08933410223164802
PAC,news20_binary_sparse,2.0,4,0.9502254885585436,0.06389988766510446,0.11373427909169903
